Crime, Location, Date
VANDALISM , Tuttle House Parking Lot,01-21-11

LARCENY ,,01-21-11

PROPERTY DAMAGE , 1222 JPA M13 Parking Lot,01-21-11

ASSIST CITIZEN , Stadium Road,01-21-11

LIQUOR LAW VIOLATION , Gordon Ave &amp; 17th St. NW,01-21-11

PROPERTY FOUND , Student Activity Building,01-22-11

VANDALISM , Mary Mumford Dorm-1st floor Breezeway,01-22-11

SUSPICIOUS CIRCUMSTANCES , McCormack Rd &amp; Chapel,01-22-11

ASSIST CITIZEN-MEDICAL,435 Treehouse Drive,01-22-11

ASSIST CITIZEN-MEDICAL,102 Emmet House,01-23-11

SIMPLE ASSAULT , Humphreys Dorm,01-23-11

MEDICAL ASSIST ,  Bonnycastle Dr.,01-23-11

MOTOR VEHICLE THEFT , Newcomb Rd.,01-23-11

MEDICAL ASSIST ,  Humphreys Dorm,01-23-11

DRUNK IN PUBLIC , Bonnycastle Drive,01-24-11

DRUG VIOLATION , Gildersleeve Dorm,01-24-11

ASSIST CITIZEN , Metcalf Dorm,01-24-11

DRUNK IN PUBLIC , UVA Emergency Room,01-24-11

SUSPICIOUS CIRCUMSTANCES , Hospital West Complex,01-24-11

SUSPICIOUS CIRCUMSTANCES , Emmet Dorm,01-24-11

PROPERTY DAMAGE , Webb Dorm Parking Area,01-24-11

ASSIST AGENCY ,,01-25-11

SHOPLIFTING ,Law School Book Store,01-25-11

BURGLARY , 209 McCormick Road,01-25-11

LIQUOR LAW VIOLATION , Bonnycastle Drive,01-26-11

LIQUOR LAW VIOLATION , Bonnycastle Drive,01-26-11

LARCENY , 163 Rugby Road,01-26-11

ASSAULT-INTIMIDATION , Faulkner Way,01-26-11

TRAFFIC ACCIDENT , Crispell Drive,01-26-11

VANDALISM/DAMAGE , Newcomb Hall,01-27-11

BREAKING AND ENTERING , MR-5,01-27-11

ASSIST CITIZEN , Memorial Gym,01-27-11

ASSIST CITIZEN , Thornton Hall,01-28-11

VEHICLE ACCIDENT , Culbreth Road,01-28-11

ASSIST AGENCY , 1222 Jefferson Park Avenue,01-28-11

PROPERTY DAMAGE , West Complex Heating Plant,01-28-11

DRUNK IN PUBLIC , 1215 Lee Street,01-28-11

LOST PROPERTY , Clark Hall Library,01-29-11

SEXUAL ASSAULT , Medical Center,01-29-11

SUSPICIOUS CIRCUMSTANCES , Bayly Art Museum,01-29-11

DRUNK IN PUBLIC , 1200 Block West Main Street,01-29-11

DRUNK IN PUBLIC , 1101 Milmont Street,01-30-11

LARCENY , Peters Dorm Bike Rac,-31-2011

SUSPICIOUS PERSON , 475 Lambeth,-31-2011

VANDALISM , UVA Medical Center,01-31-11

LARCENY , UVA Facilities Recycling Dept,01-31-11

LARCENY , Medical Center,01-31-11

LOST PROPERTY , Newcomb Hall Dining Hall,-31-2011

SUSPICIOUS CIRCUMSTANCES , Medical Center,-31-2011

FOUND PROPERTY , Rotunda,01-31-11

FOUND PROPERTY , McCormick Road,01-31-11

VEHICLE HIT &amp; RUN , 1222 JPA,-31-2011

LOST PROPERTY , Newcomb Hall,-31-2011

HIT &amp; RUN , Hospital East Garage,01-31-11

TRAFFIC ACCIDENT , Massie Road,02-01-11

ASSIST CITIZEN , Cauthen Dorm,02-02-11

ASSIST CITIZEN , Humphreys Dorms,02-02-11

VADALISM/DAMAGE/DESTRUCTION ,Woody Dorm,02-02-11

ASSIST CITIZEN , Thornton Hall,02-02-11

ASSIST CITIZEN ,Dining Hall,02-02-11

VANDALISM/PROPERTY LOSS , Hench Dorm,02-02-11

NARCOTIC VIOLATION ,117 11th ST. SW,02-02-11

BURGLARY/BREAKING &amp; ENTERING , Medical Center,02-02-11

ASSIST AGENCY , Medical Center,02-03-11

LARCENY , O-Hill Dining,02-04-11

ASSIST CITIZEN-MEDICAL , Aquatic Fitness,02-04-11

TRESPASS , Medical Center,02-04-11

ASSIST CITIZEN , Rugby Road,02-05-11

DUI , 1105 West Main Street,02-05-11

ASSIST CITIZEN , Lambeth Dorm,02-05-11

ASSIST CITIZEN MEDICAL,Cauthen House,02-06-11

ASSIST CITIZEN MEDICAL,Hereford Drive,02-06-11

LARCENY FROM BUILDING ,UVA Hospital,02-06-11

ASSIST CITIZEN , Woody Dorm,02-06-11

ASSIST CITIZEN MEDICAL , 471 Lambeth Field,02-07-11

FOUND PROPERTY , UVA Hospital ER,02-08-11

ASSIST AGENCY , UVA Hospital,02-08-11

PROPERTY DAMAGE , 214 Sprigg Lane,02-09-11

ASSIST AGENCY , UVA Hospital,02-09-11

SIMPLE ASSAULT , UVA Hospital,02-09-11

LOST PROPERTY , UVA Memorial Gym,02-09-11

PROPERTY DAMAGE , East Garage Ground Level,02-09-11

HARASSING E-MAILS , Lewis House,02-10-11

FOUND PROPERTY , Randall Hall,02-10-11

LARCENY , Amphitheater McCormick Road,02-10-11

VEHICLE CRASH , McCormick Road,02-10-11

LOST PROPERTY , Aquatic and fitness Center,02-11-11

LARCENY , 164 McCormick Rd.,02-11-11

PROPERTY LOST , 325 Emmet Dorm,02-11-11

ASSIST CITIZEN , Emmett Dorm,02-11-11

LIQUOR LAW VIOLATION , Culbreth Garage,02-11-11

ASSIST CITIZEN , 132 Maupin Dorm,02-12-11

ASSIST CITIZEN , 161 Rugby Rd,02-12-11

LARCENY , University Hall,02-12-11

ASSIST CITIZEN , Aquatic and Fitness Center,02-13-11

LOST PROPERTY , University Avenue,02-14-11

LARCENY , Jordan Hall,02-14-11

BURGLARY , 1335 Lee Street,02-14-11

DIP , 145 McCormick Road,02-14-11

ASSIST CITIZEN , Lambeth Field Apartments,02-14-11

FOUND  PROPERTY , Hospital Drive,02-14-11

DRUG/NARCOTICS VIOLATION , Cauthen Dorm,02-14-11

ASSIST CITIZEN , 431 Locust Avenue,02-15-11

FIRE ALARM-NO FIRE , UVA Hospital,02-15-11

ASSIST AGENCY , UVA Hospital,02-15-11

PROPERTY DAMAGE , 148 Amphitheater Way,02-15-11

ASSAULT-SIMPLE , Bayly Art Museum,02-15-11

TRESPASSING , 1400 University Avenue,02-16-11

ASSIST CITIZEN,JAG School,-16-2011

DRUG EQUIPMENT,UVA Hospital,-16-2011

VANDALISM,John Paul Jones Arena,-16-2011

HIT &amp; RUN,Scott Stadium,-16-2011

DRUNK IN PUBLIC,John Paul Jones Arena,-16-2011

LOST PROPERTY ,Newcomb Hall Dining Facility,-16-2011

ASSIST CITIZEN,Cauthen Dorm,-16-2011

SUSPICIOUS CIRCUMSTANCES,Cauthen Dorm,-16-2011

BREAKING AND ENTERING , John Paul Jones Arena,02-17-11

AUTOMOBILE ACCIDENT , Cabell Drive,-17-2011

LARCENY / THEFT,Astronomy Building,02-17-11

LOST PROPERTY , Nau Hall,02-17-11

ASSIST CITIZEN , Massie Road,02-18-11

ASSIST CITIZEN , Madison Bowl,02-18-11

ASSIST CITIZEN , Dell Basketball Courts,02-18-11

DRUNK IN PUBLIC , University Avenue,02-18-11

BREAKING AND ENTERING , 163 Rugby Road,02-19-11

PROPERTY DAMAGE , Halsey Hall,02-19-11

BREAKING AND ENTERING , Rugby Road,02-20-11

VANDALISM , McCormick Road,02-20-11

ASSAULT-INTIMIDATION , OHill Dining,02-20-11

VEHICLE HIT &amp; RUN, Massie Rd parking lot,02-20-11

VEHICLE HIT &amp; RUN , Rugby Rd  A-6 parking lot,02-20-11

VANDALISM , New Dorms McCormick Rd, </span>

SUSPICIOUS CIRCUMSTANCES , Cauthen Dorm,02-21-11

HABITUAL OFFENDER , Grady Avenue/Preston Place,02-22-11

PROPERTY DAMAGE , Hospital West Loading Dock,02-22-11

VANDALISM  , 169 Rugby Road,02-23-11

BREAKING AND ENTERING , New Cabell,02-23-11

VANDALISM ,McCormick Road,02-23-11

TRAFFIC ACCIDENT ,McCormick Road,02-23-11

ASSIST CITIZEN , UVA Medical Center,02-24-11

PROPERTY DAMAGE , Alderman Road,02-24-11

PROPERTY DAMAGE , Cabell Drive,02-24-11

ASSIST AGENCY , UVA,02-24-11

LARCENY , Lee Street,02-24-11

PROPERTY LOST , Bice House,02-24-11

SUSPICIOUS CIRCUMSTANCES , Fitzhugh Dorm,02-24-11

VEHICLE ACCIDENT , Massie Road,02-25-11

VANDALISM , Ruffner Hall,02-25-11

VEHICLE ACCIDENT , Facilities Management Parking Lot,02-25-11

PROPERTY DAMAGE , Lee Street,02-25-11

PROPERTY DAMAGE , Law School parking lot,02-25-11

SUSPICIOUS CIRCUMSTANCES , Miller Center,02-25-11

PROPERTY DAMAGE , McKim Hall Parking Lot,02-25-11

ASSAULT / INTIMIDATION , UVA Hospital,02-25-11

ASSIST CITIZEN , Bonnycastle House,02-25-11

ASSIST AGENCY , Massie Road,02-26-11

ASSIST CITIZEN , Woody House,02-26-11

SUSPPICIOUS CIRCUMSTANCES , Johnson House,02-26-11

VEHICLE ACCIDENT , Lee Street,02-26-11

ASSIST CITIZEN , Johnson House,02-26-11

LOST PROPERTY , UVA Grounds,02-26-11

ASSIST CITIZEN , Hereford Dr. (Runk Dining),02-26-11

ASSIST CITIZEN ,,02-27-11

VEHICLE ACCIDENT- STATE OWNED , Central Grounds Garage,02-27-11

FOUND PROPERTY , Clemons Library,02-27-11

"ASSIST CITIZEN, MEDICAL ", Slaughter Rec Center,02-27-11

DRUG/NARCOTIC VIOLATION , Emmet Street,02-27-11

BURGLARY , Rugby Road,02-28-11

ATTEMPTED FRAUD , Lambeth Commons,02-28-11

"ASSIST CITIZEN, MEDICAL ", Thornton Hall,02-28-11

LARCENY, UVA Hospital,-01-2011

SUSPICIOUS CIRCUMSTANCES , 169 Rugby Road,-01-2011

SUSPICIOUS CIRCUMSTANCES , UVA Medical Center,-01-2011

VANDALISM , Cage Parking Lot,-01-2011

ASSIST AGENCY , UVA Hospital,-01-2011

SUSPICIOUS CIRCUMSTANCES , Dabney House,-01-2011

LARCENY, Clark Hall bicycle rack,-01-2011

SUSPICIOUS PERSON , Carrs Hill field,03-02-11

LARCENY , UVA Hospital West,03-02-11

LARCENY , Brown College,03-02-11

LOST PROPERTY , Gooch Dorm,03-02-11

LARCENY , UVA Hospital West,03-02-11

DUI , 1115 Wertland Street,03-03-11

ASSIST AGENCY , UVA Hospital,03-03-11

TRAFFIC ACCIDENT , Emmet Street,03-03-11

NARCOTICS VIOLATION , Woody Dorm,03-03-11

LARCENY , Carrs Hill Field,03-03-11

DIP , John Paul Jones Arena,03-03-11

DIP , John Paul Jones Arena,03-03-11

DIP , John Paul Jones Arena,03-03-11

DIP , John Paul Jones Arena,03-03-11

ASSIST CITIZEN , John Paul Jones Arena,03-04-11

ASSIST CITIZEN , John Paul Jones Arena,03-04-11

MEDICAL ASSIST , 14 Hancock,03-04-11

FOUND PROPERTY , Chemistry Building,03-04-11

ASSIST AGENCY , UVA Emergency Room,03-04-11

THEFT OF MOTOR VEHICLE , UVA Emergency Room,03-04-11

SUSPICIOUS CIRCUMSTANCES , UVA Hospital,03-04-11

ASSIST CITIZEN , UVA Hospital,03-05-11

LARCENY , North Grounds Recreation Center,03-05-11

TRESPASSING , Bryan Hall,03-05-11

SIMPLE ASSAULT ," UVA Hospital, 3 West",03-05-11

HIT &amp; RUN , 295 Massie Road,03-05-11

VANDALISM/DESTRUCTION OF PROPERTY, McCormick Rd,03-06-11

LIQUOR LAW VIOLATION , Roosevelt Brown Blvd &amp; Crispell Dr,03-06-11

VANDALISM , 21 Hospital Dr.,03-06-11

LARCENY,Medical Center,03-07-11

LARCENY,515 Alderman Road,03-07-11

LOST PROPERTY , John Paul Jones Arena,03-07-11

PROPERTY DAMAGE, 515 Alderman Road,03-07-11

ASSAULT SIMPLE ,Lee Street,03-07-11

TRAFFIC ACCIDENT ,East Garage,03-07-11

ASSIST AGENCY,Jordan Hall bus stop,03-07-11

FOUND PROPERTY,1215 Lee Street,03-08-11

FOUND PROPERTY,Ruppell Drive,03-08-11

LARCENY,UVA Hospital,03-09-11

LARCENY ,McCormick Rd Dorm Area,03-09-11

LARCENY FROM BUILDING ,UVA Hospital,03-09-11

ASSIST AGENCY OTHER ,Lee Street,03-09-11

FOUND PROPERTY ,East Garage,03-09-11

FOUND PROPERTY ,Emmet Street,03-09-11

DOA , UVA Hospital,03-10-11

PROPERTY DAMAGE , Lee Street Garage,03-10-11

VANDALISM , South Garage,03-10-11

LARCENY , Webb Dorm,03-11-11

ASSIST CITIZEN , UVA Hospital,03-11-11

DIP, West Main Street,03-12-11

DUI , Rugby Road and University Avenue,03-12-11

TRAFFIC STOP/SUSPICIOUS CIRCUMSTANCES , Alderman &amp; Leake,03-13-11

VANDALISM/DESTRUCTION OF PROPERTY , Emmet/Ivy Garage,03-14-11

ASSIST AGENCY , West Main Street,03-14-11

BREAKING AND ENTERING , John Paul Jones,03-14-11

LARCENY , Lambeth Field Apartments,03-14-11

LOST PROPERTY , Ruffner Hall,03-14-11

DIP , Hospital Drive,03-15-11

BREAKING AND ENTERING , KCRC,03-15-11

PROTECTIVE ORDER , UVA Police Department,03-15-11

SUSPICIOUS PERSON , West Range Cafe,03-15-11

TRAFFIC ACCIDENT , Alderman Road, 0315-11

TRESPASS , Scott Stadium,03-16-11

FOUND PROPERTY , Wilsdorf Hall,03-16-11

SUSPICIOUS CIRCUMSTANCES , Alderman Library,03-16-11

ASSIST CITIZEN MEDICAL, UVA Hospital East Garage,03-16-11

TRAFFIC ACCIDENT , U-Hall West Lot,03-16-11

VANDALISM ,Lambeth,03-16-11

DIP , 155 Rugby Road,03-17-11

TRAFFIC ACCIDENT , Loading dock at Outpatient Surgery Center,03-17-11

LARCENY, Monroe Hall,03-17-11

FIRE ALARM , MR 4 Building,03-17-11

DIP , 1221 Lee Street (Sidewalk),03-17-11

DIP, 1705 Gordon Avenue (Rear parking lot),03-17-11

LARCENY, 665 Alderman Road AREA,03-18-11

ASSIST CITIZEN/MEDICAL , Brown College area,03-18-11

FAMILY OFFENSE-NON VIOLENT, 112 11th Street,03-18-11

DUI , Emmet Street,03-18-11

LARCENY, 190 McCormick Road,03-18-11

VEHICLE ACCIDENT , Lee Street Parking Lot,03-18-11

VEHICLE ACCIDENT , Hereford Drive,03-18-11

ASSIST CITIZEN-MEDICAL , Carrs Hill Field,03-18-11

ASSIST CITZEN-MEDICAL , McCormick Road,03-18-11

TRAFFIC-HIT AND RUN , JPJ Parking Garage,03-18-11

LOST PROPERTY , Old Cabell Hall,03-19-11

FOUND PROPERTY , Gilmer Hall,03-19-11

DIP , East Range Rotunda Alley,03-19-11

ASSIST AGENCY/WARRANT , 1225 Lee Street,03-19-11

ASSIST CITIZEN , Metcalf House,03-20-11

ASSIST CITIZEN , Lambeth Field,-20-2011

SUSPICIOUS CIRCUMSTANCES , 1215 Lee Street,03-20-11

TRAFFIC ACCIDENT , 300 Massie Road,03-20-11

TRAFFIC ACCIDENT , Copeley Road F1 lot,03-20-11

PROPERTY DAMAGE , Dawsons Row #2,03-20-11

TRESPASS , 117 11th Street SW,03-20-11

VANDALISM , Hotel F   50 Rotunda Dr,03-20-11

LARCENY , Ruffner Hall Auditorium,03-20-11

LOST PROPERTY , 1826 University Avenue,03-20-11

FOUND PROPERTY , Emmet Street,03-21-11

BREAKING AND ENTERING , Mimosa Drive,-21-2011

LARCENY, Culbreth Road Garage,03-20-11

HIT AND RUN , Lambeth Field,03-21-11

TRAFFIC STOP , Alderman Road and McCormick Road,03-21-11

PROPERTY LOST , Ruffner Hall,03-21-11

VEHICLE ACCIDENT, Lancaster Way,-22-2011

LOST PROPERTY , Jefferson Park Ave,-22-2011

NARCOTICS VIOLATION, Echols Dorm,-22-2011

BURGLARY , MR-4,-22-2011

TRESPASSING, Hospital Drive,-22-2011

SUSPICIOUS CIRCUMSTANCES , Gilmer Hall,03-23-11

MOTOR VEHICLE THEFT , Tuttle Dorm,03-23-11

LARCENY , Aquatic Fitness Center,03-23-11

ANNOYING PHONE CALLS , UVA Medical Center,03-23-11

ASSIST CITIZEN , Aquatic and Fitness Center,03-23-11

LOST PROPERTY , University Hall,03-23-11

VANDALISM , Clark Hall,03-24-11

ANNOYING PHONE CALLS , UVA Bookstore,03-24-11

COMPUTER HARRASMENT , Core Medical Lab,03-24-11

PROPERTY DAMAGE , HSC East Parking Garage,03-24-11

SUSPICIOUS CIRCUMSTANCES , UVA Hospital,03-24-11

MOTOR VEHICLE THEFT , McCue Center,03-24-11

DISORDERLY CONDUCT , Maupin House,03-24-11

DIP , Corner of 13th Street and Wertland Avenue,03-25-11

ASSIST CITIZEN , 107 Dabney,03-25-11

ASSIST AGENCY , 1222 Jefferson Park Avenue,03-25-11

ASSIST CITIZEN , Webb House,03-25-11

DIP ,McCormick Road,03-26-11

ASSIST CITIZEN  , Jeannette Lancaster Way,03-26-11

FOUND PROPERTY , University Hall,03-26-11

LIQUOR LAW VIOLATION , Woody Dorm,03-27-11

FOUND PROPERTY , Rotunda,03-27-11

LARCENY , West Lawn,03-27-11

PROPERTY DAMAGE , S-6 Parking Lot,03-27-11

ANIMAL BITE , Law School area,03-27-11

ASSIST MEDICAL, Physics Building,03-28-11

DAMAGED PROPERTY , Alderman Road,03-28-11

ASSAULT-SIMPLE , 1217 Lee Street,03-28-11

MEDICAL ASSIST , Massie road,03-28-11

FOUND PROPERTY , 1101 Millmont Street,03-28-11

FOUND PROPERTY, Dillard Dorm,-29-2011

SUSPICIOUS CIRCUMSTANCES , Farrish Circle,03-29-11

STOLEN VEHICLE , Hench Dorm,03-29-11

ASSIST CITIZEN MEDICAL , McCormick Rd,03-29-11

LARCENY , AFC,03-29-11

LARCENY , McCormick Road,03-29-11

ASSIST AGENCY, 1215 Lee Street,03-29-11

ASSIST AGENCY, UVA Emergency Department,-30-2011

STOLEN VEHICLE , Hench Dorm Area,03-29-11

BREAKING AND ENTERING, Johnson Dorm,03-30-11

LARCENY, UVA Hospital,03-31-11

ASSIST AGENCY , UVA Hospital,03-31-11

SUSPICIOUS CIRCUMSTANCES , Davis Dorm,03-31-11

LARCENY FROM BUILDING , UVA Medical Center,03-31-11

LARCENY , UVA Hospital,04-01-11

LARCENY , UVA Hospital,04-01-11

TRAFFIC ACCIDENT , 295 Massie Road (Heating Plant),04-01-11

PROPERTY FOUND , Brooks Hall,04-01-11

ASSIST AGENCY ,  Hospital Emergency Department,04-01-11

PROPERTY FOUND , R-2 parking lot,04-01-11

ASSIST CITIZEN MEDICAL , Courtenay Dorm,04-02-11

DUI , Emmet Street,04-02-11

LARCENY FROM BUILDING , 1811 Lambeth Lane,04-02-11

TRESPASS , Hospital Drive,04-02-11

LARCENY , Thornton Hall,04-02-11

SUSPICIOUS CIRCUMSTANCES , UVA Police Department,04-02-11

SIMPLE ASSAULT , JPJ Parking Lot,04-02-11

TRAFFIC HIT AND RUN , JPJ Rear parking Lot,04-02-11

SIMPLE ASSAULT , 1820 Carrs Hill,04-03-11

LARCENY, Norris Dorm,04-03-11

FOUND PROPERTY , Lambeth Field Parking Lot,04-03-11

LARCENY , Carrs Hill Field,04-03-11

DUI , 1600 Jefferson Park Ave.,04-03-11

DIP , 1240 Lee Street,04-04-11

VANDALISM, Medical Center Shuling Wing,04-04-11

VANDALISM, Monroe Lane,04-04-11

LOST PROPERTY , McCormick Road,04-04-11

THEFT ,Aquatics Fitness Center,04-04-11

PROPERTY DAMAGE , Alumni Hall,04-04-11

VANDALISM, West Complex roof,04-04-11

DAMAGED PROPERTY,Bavaro Hall,04-04-11

LARCENY , Observatory Hill Dining Facility,04-04-11

THREATENING PHONE CALL , UVA Hospital,04-04-11

BURGLARY , UVA Hospital,04-04-11

SUSPICIOUS PERSON , UVA Hospital,04-05-11

LARCENY , Lee Street Garage,04-05-11

ASSIST AGENCY , UVA Hospital,04-05-11

HARASSMENT , UVA,04-05-11

PROPERTY LOST ,  Monroe Lane,04/05/11

MEDICAL ASSIST , Chemistry Building,04-05-11

LARCENY , Medical Center,04-05-11

LARCENY , Alderman Library,04-05-11

PROPERTY DAMAGE ,University Hall parking lot,04-06-11

LARCENY ,Norris Dorm,04-06-11

ASSIST CITIZEN , UVA Hospital,04-06-11

HIT AND RUN , Central Grounds Parking Garage,04/06/11

ASSIST CITIZEN , 1015 Massie Road at The Park,04-06-11

FOUND PROPERTY ,UVA Emergency Department,04-07-11

VANDALISM, Gilmer Hall Green House,04-08-11

VANDALISM, South Lawn,04-07-11

ASSIST AGENCY , UVA Hospital,04-08-11

LARCENY, Medical Education Building,01-27-11

SUSPICIOUS CIRCUMSTANCE , Emily Couric Cancer Center,04-08-11

LOST PROPERTY , Newcomb Hall Food Court, 4-06-11

ACCIDENT , Scott Stadium,04-08-11

MEDICAL ASSIST , Rugby Road,04-08-11

ASSIST CITIZEN , Hancock Dorm,04-09-11

LARCENY , 189 Culbreth Road,04-09-11

VANDALISM, Jordan Hall,04-09-11

ASSIST CITIZEN , Lambeth Apartments,04-09-11

ASSIST CITIZEN , UVA Hospital ER,04-09-11

LARCENY, Newcomb Hall,04-08-11

ASSIST CITIZEN , Dell Basketball Court,04-09-11

FOUND PROPERTY , 136 Hospital Drive,04-09-11

ASSAULT, Newcomb Road,04-08-11

TRESPASS , Steam Tunnels,04-10-11

VANDALISM , 127 University Avenue,04-10-11

VANDALISM , Gilmer Hall,04-10-11

VANDALISM , Jordan Hall,04-10-11

VANDALISM, Tuttle House,04-11-11

SUSPICIOUS CIRCUMSTANCES , 1240 Lee St.,04-11-11

HIT AND RUN , East Parking Garage,-11-2011

FOUND PROPERTY , Alderman Library,04-11-11

LARCENY, 163 Rugby Road,04-11-11

FOUND PROPERTY, West Lawn,04-12-11

TRAFFIC ACCIDENT , 300 Massie Road,04-12-11

TRAFFIC ACCIDENT , 100 Culbreth Rd,04-12-11

ASSIST CITIZEN, 1210 Lee Street,04-12-11

MEDICAL ASSIST, Kerchof Hall,04-12-11

SUSPICIOUS CIRCUMSTANCE, AFC Parking Lot,03-14-11

ASSIST CITIZEN ,1015 Massie Road,03-14-11

DAILY REPORT #,2011 104,03-14-11

ASSIST CITIZEN ,Mechanical Engineering,-14-2011

ASSIST CITIZEN,1224 JPA,-14-2011

SUSPICIOUS CIRCUMSTANCE ,1224 JPA,-14-2011

PROPERTY FOUND , UVA Police Department,-14-2011

DIP , 1215 Lee Street,-14-2011

TRESPASSING , 464 Lambeth Commons,-14-2011

DAILY REPORT #,2011 105,-14-2011

VANDALISM ,Gilmer Hall,-15-2011

BREAKING AND ENTERING,West Range,-15-2011

ASSIST CITIZEN ,New Cabell Hall,-15-2011

FIRE , Vaughn Drive,-15-2011

VANDALISM , 189 Culbreth Road,-15-2011

LARCENY , UVA Hospital,-15-2011

ASSIST AGENCY , Carruthers Hall,-15-2011

ACCIDENT , 1101 Millmont Street,-15-2011

LARCENY , Monroe Hall,-15-2011

DAILY REPORT #,2011 106,-15-2011

DUI ,Massie Road,-16-2011

ASSIST CITIZEN , Woody Dorm,-16-2011

VANDALISM ,Gilmer Hall Greenhouse,-16-2011

PROPERTY DAMAGE, Bavaro Hall,-16-2011

PROPERTY DAMAGE , West Lawn,-16-2011

PROPERTY DAMAGE , Zehmer Hall Annex,-16-2011

PROPERTY DAMAGE , 1210 Lee Street,-16-2011

TRAFFIC ACCIDENT , Hereford Dr.,04-17-11

